0	Issue key	Component/s	Component/s	Component/s	Component/s
0	HDFS-7810	datanode	namenode		
0	HDFS-11452				
0	HDFS-1956	namenode			
0	HDFS-11183				
0	HDFS-11507	namenode			
0	HDFS-11413				
0	HDFS-8125				
0	HDFS-11343				
0	HDFS-8095				
1	HDFS-9826				
0	HDFS-6555	namenode	security		
1	HDFS-11277	datanode			
0	HDFS-11200	build			
0	HDFS-11205				
0	HDFS-11199	hdfs			
0	HDFS-11155	datanode			
1	HDFS-11089	test			
0	HDFS-10904	balancer & mover			
0	HDFS-6682				
0	HDFS-10428				
0	HDFS-10697	erasure-coding			
0	HDFS-10593				
0	HDFS-4654	ha	namenode		
0	HDFS-3526				
0	HDFS-5838				
0	HDFS-4653				
0	HDFS-6221	datanode	webhdfs		
0	HDFS-4526	namenode			
0	HDFS-5670	hdfs-client	namenode		
0	HDFS-5026				
0	HDFS-3563	contrib/raid			
0	HDFS-4771	namenode			
0	HDFS-5227				
0	HDFS-5271	documentation			
0	HDFS-4967	ha	hdfs-client	namenode	
0	HDFS-5686	namenode			
0	HDFS-350				
0	HDFS-10185	test			
0	HDFS-1613				
0	HDFS-3917				
0	HDFS-8296	namenode			
0	HDFS-7447	security			
0	HDFS-9540				
0	HDFS-2593	webhdfs			
0	HDFS-2851	balancer & mover	datanode	ha	namenode
0	HDFS-9361	namenode			
0	HDFS-8419	fs			
0	HDFS-8126	namenode			
0	HDFS-1137	namenode			
0	HDFS-8574				
0	HDFS-2881	test			
0	HDFS-9199				
0	HDFS-8373				
1	HDFS-9186	hdfs-client			
0	HDFS-1726	namenode			
0	HDFS-9050				
0	HDFS-9102				
0	HDFS-8594				
0	HDFS-8886				
0	HDFS-8877	namenode			
0	HDFS-3619	balancer & mover			
0	HDFS-3411	balancer & mover			
0	HDFS-1676	balancer & mover			
0	HDFS-8531	namenode			
0	HDFS-8503	fs			
0	HDFS-7545				
1	HDFS-7882				
0	HDFS-8467				
0	HDFS-8473				
1	HDFS-3512	datanode			
0	HDFS-348				
0	HDFS-8040	security			
0	HDFS-7504	hdfs-client	webhdfs		
0	HDFS-7432				
0	HDFS-7658				
0	HDFS-7972	namenode			
0	HDFS-3668				
0	HDFS-7256	encryption	security		
0	HDFS-3028	datanode			
0	HDFS-2282	datanode			
0	HDFS-1488	namenode			
0	HDFS-1026	documentation	namenode		
0	HDFS-2045	scripts			
0	HDFS-2930	tools			
0	HDFS-7570				
0	HDFS-1213	hdfs-client			
0	HDFS-7534				
1	HDFS-7477				
0	HDFS-5960	namenode			
0	HDFS-7451				
0	HDFS-7241	encryption	federation		
0	HDFS-1579	datanode			
0	HDFS-6049				
0	HDFS-1530				
0	HDFS-6845				
0	HDFS-1764				
0	HDFS-6684				
0	HDFS-6321				
0	HDFS-6254	libhdfs			
1	HDFS-6223	hdfs-client			
0	HDFS-6786	caching			
0	HDFS-1441				
0	HDFS-6626				
0	HDFS-279				
0	HDFS-130				
0	HDFS-45				
0	HDFS-6688				
0	HDFS-6641	namenode			
0	HDFS-6654				
0	HDFS-172				
0	HDFS-6547	namenode	security		
1	HDFS-1379	hdfs-client	namenode		
0	HDFS-6508	namenode	security		
0	HDFS-6523	namenode	security		
0	HDFS-6393	namenode	security		
0	HDFS-6390	namenode	security		
1	HDFS-6457	namenode	security		
0	HDFS-6577	namenode			
0	HDFS-6336	namenode	webhdfs		
0	HDFS-4051	test			
0	HDFS-951				
0	HDFS-1336	datanode			
0	HDFS-108				
0	HDFS-1290	namenode			
0	HDFS-1106				
0	HDFS-2420				
0	HDFS-1766	datanode			
0	HDFS-3333	namenode			
0	HDFS-3534				
1	HDFS-39				
0	HDFS-5927	namenode			
0	HDFS-5749				
0	HDFS-5836				
0	HDFS-198	hdfs-client	namenode		
0	HDFS-5108				
0	HDFS-4871				
0	HDFS-4889				
0	HDFS-5081				
0	HDFS-5046	datanode			
0	HDFS-3960	datanode	hdfs-client	namenode	
0	HDFS-282				
0	HDFS-4276	namenode			
0	HDFS-4689	datanode	hdfs-client	namenode	
0	HDFS-693	datanode			
0	HDFS-3600	datanode			
0	HDFS-3670	webhdfs			
1	HDFS-1143	namenode			
0	HDFS-1076	test			
